HttpMethod: GET, Status: 404, Path: /asdasd Time: 0ms   
HttpMethod: GET, Status: 200, Path: / Time: 0ms   
HttpMethod: GET, Status: 200, Path: /deadline Time: 0ms   
HttpMethod: GET, Status: 200, Path: /static/deadline/styles/main.css Time: 0ms   
HttpMethod: GET, Status: 200, Path: /static/deadline/js/main.js Time: 0ms   
HttpMethod: GET, Status: 200, Path: /deadline Time: 2ms   
HttpMethod: GET, Status: 200, Path: /static/deadline/styles/main.css Time: 0ms   
HttpMethod: GET, Status: 200, Path: /static/deadline/js/main.js Time: 0ms   
HttpMethod: GET, Status: 200, Path: / Time: 0ms   
HttpMethod: GET, Status: 200, Path: /deadline Time: 0ms   
HttpMethod: GET, Status: 200, Path: /static/deadline/styles/main.css Time: 0ms   
HttpMethod: GET, Status: 200, Path: /static/deadline/js/main.js Time: 1ms   
HttpMethod: GET, Status: 200, Path: /deadline Time: 2ms   
HttpMethod: GET, Status: 200, Path: /static/deadline/styles/main.css Time: 1ms   
HttpMethod: GET, Status: 200, Path: /static/deadline/js/main.js Time: 0ms   
HttpMethod: GET, Status: 404, Path: /favicon.ico Time: 0ms   
HttpMethod: GET, Status: 200, Path: / Time: 0ms   
HttpMethod: GET, Status: 200, Path: /deadline Time: 0ms   
HttpMethod: GET, Status: 200, Path: /static/deadline/styles/main.css Time: 0ms   
HttpMethod: GET, Status: 200, Path: /static/deadline/js/main.js Time: 0ms   
HttpMethod: GET, Status: 200, Path: / Time: 0ms   
HttpMethod: GET, Status: 200, Path: /load Time: 0ms   
HttpMethod: GET, Status: 200, Path: /static/load/styles/main.css Time: 0ms   
HttpMethod: GET, Status: 200, Path: /static/load/js/main.js Time: 0ms   
HttpMethod: GET, Status: 200, Path: / Time: 0ms   
HttpMethod: GET, Status: 200, Path: /deadline Time: 0ms   
HttpMethod: GET, Status: 200, Path: /static/deadline/styles/main.css Time: 0ms   
HttpMethod: GET, Status: 200, Path: /static/deadline/js/main.js Time: 0ms   
